Issue Type,Issue Key,Summary,Description,Epic Link,Labels,Sprint,Story Points,Assignee,Custom Fields
Story,MTA-001,[DE] Dev container and service orchestration baseline,"Primary: DE | Support: AE

Acceptance Criteria: One-command startup for core stack works on clean environment",MTA-EPIC-1,"DE,AE,mta-backlog,foundation,s1",S1,5,,Primary Owner: DE; Support: AE
Story,MTA-002,"[DE] Secrets, env strategy, role-based access matrix","Primary: DE | Support: AE

Acceptance Criteria: Secrets not hardcoded, access matrix approved",MTA-EPIC-1,"DE,AE,mta-backlog,foundation,s1",S1,3,,Primary Owner: DE; Support: AE
Story,MTA-003,"[AE] Naming conventions, layer standards, modeling contract","Primary: AE | Support: DE

Acceptance Criteria: Standards approved and used by first pipelines",MTA-EPIC-1,"AE,DE,mta-backlog,foundation,s1",S1,3,,Primary Owner: AE; Support: DE
Story,MTA-004,[AE] SLA/SLO definitions and incident severity policy,"Primary: AE | Support: DE

Acceptance Criteria: Freshness, completeness, and error SLOs agreed",MTA-EPIC-1,"AE,DE,mta-backlog,foundation,s1",S1,3,,Primary Owner: AE; Support: DE
Story,MTA-005,[DE] GA4 connector setup with incremental cursor logic,"Primary: DE | Support: AE

Acceptance Criteria: Incremental sync stable across three runs",MTA-EPIC-2,"DE,AE,mta-backlog,ingestion,s1",S1,8,,Primary Owner: DE; Support: AE
Story,MTA-006,[DE] Raw JSON landing and partitioned parquet writer,"Primary: DE | Support: AE

Acceptance Criteria: Bronze partition output generated and queryable",MTA-EPIC-2,"DE,AE,mta-backlog,ingestion,s1",S1,8,,Primary Owner: DE; Support: AE
Story,MTA-007,[DE] Ingestion audit columns and idempotency keys,"Primary: DE | Support: AE

Acceptance Criteria: No duplicate loads on replay",MTA-EPIC-2,"DE,AE,mta-backlog,ingestion,s2",S2,5,,Primary Owner: DE; Support: AE
Story,MTA-008,[DE] Airflow DAG base and schedule orchestration,"Primary: DE | Support: AE

Acceptance Criteria: DAG succeeds end-to-end on sample day",MTA-EPIC-2,"DE,AE,mta-backlog,ingestion,s2",S2,5,,Primary Owner: DE; Support: AE
Story,MTA-009,[DE] Late-arriving data sensor and partition replay logic,"Primary: DE | Support: AE

Acceptance Criteria: Delayed feed triggers selective reprocessing only",MTA-EPIC-2,"DE,AE,mta-backlog,ingestion,s2",S2,8,,Primary Owner: DE; Support: AE
Story,MTA-010,[AE] Reconciliation check expected vs arrived event volumes,"Primary: AE | Support: DE

Acceptance Criteria: Alert generated on threshold breach",MTA-EPIC-2,"AE,DE,mta-backlog,ingestion,s2",S2,5,,Primary Owner: AE; Support: DE
Story,MTA-011,[AE] Encoding detection and UTF normalization pipeline,"Primary: AE | Support: DE

Acceptance Criteria: Known bad encodings corrected in fixtures",MTA-EPIC-3,"AE,DE,mta-backlog,cleaning,s3",S3,5,,Primary Owner: AE; Support: DE
Story,MTA-012,[AE] German string normalization and transliteration rules,"Primary: AE | Support: DE

Acceptance Criteria: Umlaut handling validated by tests",MTA-EPIC-3,"AE,DE,mta-backlog,cleaning,s3",S3,5,,Primary Owner: AE; Support: DE
Story,MTA-013,[AE] Locale-aware financial parsing and abbreviation expansion,"Primary: AE | Support: DE

Acceptance Criteria: Inputs like 10 Mio converted correctly",MTA-EPIC-3,"AE,DE,mta-backlog,cleaning,s3",S3,8,,Primary Owner: AE; Support: DE
Story,MTA-014,[AE] Nested GA4 flattening to canonical silver schema,"Primary: AE | Support: DE

Acceptance Criteria: Silver tables populated with expected row counts",MTA-EPIC-3,"AE,DE,mta-backlog,cleaning,s3",S3,8,,Primary Owner: AE; Support: DE
Story,MTA-015,[AE] Sessionization with 30-minute inactivity rule,"Primary: AE | Support: DE

Acceptance Criteria: Deterministic boundary tests pass",MTA-EPIC-4,"AE,DE,mta-backlog,core-modeling,s4",S4,8,,Primary Owner: AE; Support: DE
Story,MTA-016,[AE] 30-day conversion lookback enforcement,"Primary: AE | Support: DE

Acceptance Criteria: Out-of-window touches excluded",MTA-EPIC-4,"AE,DE,mta-backlog,core-modeling,s4",S4,5,,Primary Owner: AE; Support: DE
Story,MTA-017,[AE] Campaign dimension SCD Type 2 implementation,"Primary: AE | Support: DE

Acceptance Criteria: Point-in-time joins reproduce prior state",MTA-EPIC-4,"AE,DE,mta-backlog,core-modeling,s4",S4,8,,Primary Owner: AE; Support: DE
Story,MTA-018,[AE] Customer hash harmonization and identity rules,"Primary: AE | Support: DE

Acceptance Criteria: CRM-web linkage quality above threshold",MTA-EPIC-4,"AE,DE,mta-backlog,core-modeling,s4",S4,8,,Primary Owner: AE; Support: DE
Story,MTA-019,[AE] Journey path builder using recursive and window logic,"Primary: AE | Support: DE

Acceptance Criteria: Benchmark user paths are accurate",MTA-EPIC-4,"AE,DE,mta-backlog,core-modeling,s5",S5,8,,Primary Owner: AE; Support: DE
Story,MTA-020,"[AE] Gold marts for spend, net conversions, and ROAS","Primary: AE | Support: BI

Acceptance Criteria: Finance reconciliation passes",MTA-EPIC-4,"AE,BI,mta-backlog,core-modeling,s5",S5,8,,Primary Owner: AE; Support: BI
Story,MTA-021,[AE] GE suite for schema and integrity contracts,"Primary: AE | Support: DE

Acceptance Criteria: Tests fail correctly on injected bad data",MTA-EPIC-5,"AE,DE,mta-backlog,quality,s5",S5,8,,Primary Owner: AE; Support: DE
Story,MTA-022,[AE] Attribution conservation test (no ghost revenue),"Primary: AE | Support: MLE

Acceptance Criteria: Attributed totals equal actual totals",MTA-EPIC-5,"AE,MLE,mta-backlog,quality,s5",S5,5,,Primary Owner: AE; Support: MLE
Story,MTA-023,"[MLE] Baselines: first, last, linear, and time-decay","Primary: MLE | Support: AE

Acceptance Criteria: Baseline outputs published and comparable",MTA-EPIC-6,"MLE,AE,mta-backlog,attribution,s6",S6,8,,Primary Owner: MLE; Support: AE
